"Mon","Tue","Wed","Thu","Date","Stormy","Mixed","p","q","Rainy","Cold","Wind","Wind2"
0,1,0,0,920317,0,0,-0.5817336,9.168476,0,1,2.813411,7.91528
0,0,1,0,920318,0,1,-0.0370413,7.44132,0,1,2.908721,8.460658
0,0,0,1,920319,0,0,0.0746435,8.61432,0,1,2.813411,7.91528
0,0,0,0,920320,1,0,-0.5268259,8.902047,1,1,3.075775,9.460391
1,0,0,0,920323,0,0,-0.1123292,7.857481,0,1,2.590267,6.709484
0,1,0,0,920324,0,1,-0.2376716,8.228177,0,1,2.762117,7.629292
0,0,1,0,920325,0,1,-0.4243931,7.986165,0,1,2.762117,7.629292
0,0,0,1,920326,0,1,-0.4828126,9.395989,0,0,2.862201,8.192194
0,0,0,0,920327,0,1,-0.1923718,7.711997,0,0,2.862201,8.192194
1,0,0,0,920330,1,0,0.1823216,7.705263,0,0,3.401197,11.56814
0,1,0,0,920331,1,0,0.2876821,7.013916,0,0,3.184974,10.14406
0,0,1,0,920401,0,1,-0.1873341,8.492901,1,0,2.953173,8.721229
0,0,0,1,920402,0,0,-0.4404448,9.333443,0,0,2.590267,6.709484
0,0,0,0,920403,0,0,-0.567984,9.578795,1,1,2.862201,8.192194
1,0,0,0,920406,0,0,-0.3873608,8.975504,0,0,2.813411,7.91528
0,1,0,0,920407,0,0,-0.5108256,7.28961,0,0,2.70805,7.333536
0,0,1,0,920408,0,0,-0.6149098,9.415728,0,0,2.70805,7.333536
0,0,0,1,920409,0,0,-0.3876929,8.740336,0,0,2.650892,7.027227
0,0,0,0,920410,0,0,-0.3716677,8.584852,0,0,2.650892,7.027227
1,0,0,0,920413,0,0,-0.3101549,8.657825,0,1,2.862201,8.192194
0,1,0,0,920414,0,0,-0.3502024,7.383989,0,0,2.995732,8.974412
0,0,1,0,920415,0,0,-0.2231435,6.194406,0,0,2.762117,7.629292
0,0,0,1,920416,0,0,-0.3119048,9.187583,0,0,2.525729,6.379305
0,0,0,0,920417,0,0,-0.2258646,8.779557,1,0,2.456736,6.035551
0,1,0,0,920421,0,0,-0.2842691,9.261033,0,0,2.590267,6.709484
0,0,1,0,920422,0,0,-0.0971638,8.294049,0,0,2.525729,6.379305
0,0,0,1,920423,0,0,-0.1419181,8.737132,1,0,2.650892,7.027227
0,0,0,0,920424,0,0,-0.5364382,9.651816,0,0,2.650892,7.027227
1,0,0,0,920427,0,0,-0.4596867,8.552561,0,0,2.650892,7.027227
0,1,0,0,920428,0,0,-0.4866114,8.163371,0,0,2.590267,6.709484
0,0,1,0,920429,0,0,-0.7603559,8.663024,0,0,2.525729,6.379305
0,0,0,1,920430,0,0,-0.8931236,9.099409,0,0,2.525729,6.379305
0,0,0,0,920501,0,0,-1.107745,9.014325,0,0,2.525729,6.379305
1,0,0,0,920504,0,0,-0.7985078,8.610683,0,0,2.862201,8.192194
0,1,0,0,920505,0,1,-0.0870114,7.162397,0,0,2.908721,8.460658
0,0,1,0,920506,0,1,0.1849223,7.36201,0,0,2.862201,8.192194
0,0,0,1,920507,0,1,0.2231435,8.764053,0,0,2.813411,7.91528
0,0,0,0,920508,0,1,0.5611184,8.328451,0,0,2.862201,8.192194
